display_name,url,class,style,id,title,target,url_type
3 PERIOD PRODUCT HISTORY,Default.aspx?Module=cee762e3-394b-4731-aa32-7fe951a8974f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
3 PERIOD SALES GROUP HISTORY,Default.aspx?Module=fe553a0f-3ca1-453d-8c30-b691189360f0,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
NON-STANDARD EQUIPMENT PRICING,Default.aspx?Module=aa7d271c-257c-451c-b609-cd9aa72ca83e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
NON-STANDARD PRODUCT PRICES,Default.aspx?Module=428c1474-3b7f-4925-9dfc-c2e0c7944266,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
USAGE REPORT,Default.aspx?Module=cab3c408-4b50-4f18-9d06-e7df08d4b451,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES CONTACT MANAGER,Default.aspx?Module=296671a4-7ad0-4fc4-9d8e-f18884101653,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES CONTACT MANAGER DASHBOARD,Default.aspx?Module=2d341013-a40b-4c7a-8e5d-dc18ceb8ee1c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SCM SALESPERSON TRANSFER,Default.aspx?Module=7b210686-f2f4-4793-b8aa-e49b9aafde04,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER DEPOSIT SEARCH,Default.aspx?Module=f24745f4-6187-4461-853c-8bd6db81dddc,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER MACHINE SEARCH,Default.aspx?Module=b0c61f43-5386-4321-a2fc-92e988fc908f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER PRODUCT SEARCH,Default.aspx?Module=8559c2de-5095-4597-a02f-6708e021f504,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER SEARCH,Default.aspx?Module=ff295817-8c5c-48f3-9b8e-a3cde5a96a5c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER TICKET SEARCH,Default.aspx?Module=b85279d3-e49c-485d-922c-9d8ea206fcc9,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DOT LOAD SHEET SEARCH,Default.aspx?Module=ef9536cb-0b8f-4732-833f-9b08048f1fab,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
INVOICE SEARCH,Default.aspx?Module=95dc2e1a-d033-453a-a8d1-61824a90f62a,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
MACHINE SEARCH,Default.aspx?Module=90079808-1f6e-4c35-af3a-a20ee93f7ede,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
MODULE SEARCH,Default.aspx?Module=e60ebbef-bd17-44bc-92fc-592383d09f1e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
RECEIPT SEARCH,Default.aspx?Module=59f48037-a981-468e-af2e-09e87ce9a130,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
TICKET SEARCH,Default.aspx?Module=7c61082d-02cd-4864-8ea9-cd95b4b87259,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
TRANSACTION SEARCH,Default.aspx?Module=bea61fc2-3493-4fad-bdf4-3b6ef088888a,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
TICKET,Default.aspx?Module=99d0c3c3-1ec7-4ae2-864d-8d49d0ce1ff6,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
TICKET GENERAL,Default.aspx?Module=8594321c-3997-4715-a9c2-b65a26e015e1,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SWITCH PROCESS BRANCH,Default.aspx?Module=f06a9629-5a94-45de-b05a-611ad910b91b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
,,,height:100%;width:100%;display:block;,_MenuModule_SkipLink,,,No URL
HOME,Default.aspx,SiteMap,,,,,Module
EXCEPTION - 2024-10-22.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=ad420626-86aa-4df0-9f3c-7b28ce41be85&NAVIGATING,,,ctl04__TSGridView_ctl02__HyperLinkReport_Path,,_blank,File
SALES COMPARISON - 2024-10-22.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=e325598b-2fd3-419b-8d30-97933a687003&NAVIGATING,,,ctl04__TSGridView_ctl03__HyperLinkReport_Path,,_blank,File
USAGE REPORT - 650946 - 2024-10-23.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=636e35b7-8db2-4254-bfe4-6cef6b82c57f&NAVIGATING,,,ctl04__TSGridView_ctl04__HyperLinkReport_Path,,_blank,File
EXCEPTION - 2024-10-23.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=2c2576b0-7281-45b2-bf82-1f0547e6f78a&NAVIGATING,,,ctl04__TSGridView_ctl05__HyperLinkReport_Path,,_blank,File
SALES COMPARISON - 2024-10-23.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=41416dc5-ee23-4b2a-a4d2-1e56e4223ba5&NAVIGATING,,,ctl04__TSGridView_ctl06__HyperLinkReport_Path,,_blank,File
EXCEPTION - 2024-10-24.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=f39a9919-d8cc-4e11-b54c-6a1859590e1b&NAVIGATING,,,ctl04__TSGridView_ctl07__HyperLinkReport_Path,,_blank,File
SALES COMPARISON - 2024-10-24.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=cbad172c-7517-490e-a29e-115f7a3fe4cd&NAVIGATING,,,ctl04__TSGridView_ctl08__HyperLinkReport_Path,,_blank,File
PRESIDENT CLUB SUMMARY - 2024-04-21.xlsx,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=3c7d3698-95e3-45a4-8b0f-c9a36fc039e6&NAVIGATING,,,ctl04__TSGridView_ctl09__HyperLinkReport_Path,,_blank,File
EXCEPTION - 2024-10-25.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=fbb22291-49a7-4d14-9da3-34bfe42701a9&NAVIGATING,,,ctl04__TSGridView_ctl10__HyperLinkReport_Path,,_blank,File
EOP FOUR WEEK ( YEAR: 2024 PERIOD: 5 ) - 2024-10-25.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=ca2137bc-ce8e-4281-92e1-ef3d504b024f&NAVIGATING,,,ctl04__TSGridView_ctl11__HyperLinkReport_Path,,_blank,File
SALES COMPARISON - 2024-10-25.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=c5de5d96-ad57-439c-b693-0008db6020c3&NAVIGATING,,,ctl04__TSGridView_ctl12__HyperLinkReport_Path,,_blank,File
NON-STANDARD EQUIPMENT PRICING - 2024-10-25.xlsx,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=85337a67-b748-41c7-aaf1-b58ce816615b&NAVIGATING,,,ctl04__TSGridView_ctl13__HyperLinkReport_Path,,_blank,File
EXCEPTION - 2024-10-28.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=213dbeb4-f728-4fc2-8808-03a5afa839d7&NAVIGATING,,,ctl04__TSGridView_ctl14__HyperLinkReport_Path,,_blank,File
SALES COMPARISON - 2024-10-28.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=9532b8ce-8b3d-4a21-b9c7-c80024a99b36&NAVIGATING,,,ctl04__TSGridView_ctl15__HyperLinkReport_Path,,_blank,File
MACHINE MODEL COUNT DETAIL - 2024-10-29.xlsx,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=2e4af2d7-e49a-4ca6-bbb2-77da5da36c0f&NAVIGATING,,,ctl04__TSGridView_ctl16__HyperLinkReport_Path,,_blank,File
MACHINE MODEL COUNT DETAIL - 2024-10-29.xlsx,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=fa105342-1c73-4aa9-85e4-10e72a3097e8&NAVIGATING,,,ctl04__TSGridView_ctl17__HyperLinkReport_Path,,_blank,File
CUSTOMER ROUTE HISTORY (ROUTE CARD) - 226500020 - 2024-10-29.pdf,FileOperator.aspx?Module=d9f1d0ba-be9e-4c83-8cd1-ccea51183427&FileKey=92e5a466-0245-423b-96b7-4040dd859211&NAVIGATING,,,ctl04__TSGridView_ctl18__HyperLinkReport_Path,,_blank,File
,javascript:void(0);,,text-decoration:none;,ctl03__TSClientCalendar_DueTime_Link,,,JavaScript
<<,"javascript:__doPostBack('ctl03$_LinkButton_BackMonth','')",,text-decoration:none;,ctl03__LinkButton_BackMonth,,,JavaScript
>>,"javascript:__doPostBack('ctl03$_LinkButton_ForwardMonth','')",,text-decoration:none;,ctl03__LinkButton_ForwardMonth,,,JavaScript
EXCEPTION | BR650 EXCEPTION FOR KIRK THOMAS - OFFICE ADMIN ACCESS,default.aspx?Module=8594321c-3997-4715-a9c2-b65a26e015e1&Key=650-6de32678-dc32-4eb7-be8c-ae2f5afd747f,,text-decoration:none;,,TICKET-2365000034,,Other
