display_name,url,class,style,id,title,target,url_type
BRANCH RESOURCES,Default.aspx?Module=3ede8b8d-eaea-443e-acb6-b9300a5c06d8,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
COMMISSION,Default.aspx?Module=a52b068e-2c28-430d-86f3-79832ea195b2,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
COMMISSION USER,Default.aspx?Module=a4010eb1-eee5-448b-a90b-1f880706c05c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
DOT,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
EOP,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
GL TRANSACTION,Default.aspx?Module=8e5a689a-bc0d-46ce-b6ed-87246a4d2d7b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
HRA MONITOR,Default.aspx?Module=2dd103ec-f401-4e15-a02a-8fd89fcf23f2,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
HRA ROUTE SYNC,Default.aspx?Module=0777d7f4-d076-4073-93ef-bed14ffd1fd3,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ON CALL,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
PO AND RECEIPT,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
REROUTE,Default.aspx?Module=b64cf514-9d34-42bf-b722-37accf1acfb5,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ROUTE SCHEDULE,Default.aspx?Module=e6242980-6549-42ba-91b2-4fb4530051e0,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ROUTE USER,Default.aspx?Module=bca14049-aefd-4977-9e75-0e978adfadc8,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
VIEW CALENDAR,Default.aspx?Module=b88d43a9-0634-4fec-af0f-a3632d39246c,_MenuModule_1 _MenuModule_6 _MenuModule_11,height:100%;width:100%;display:block;,,,,Module
VIEW MONITOR,Default.aspx?Module=a3132b57-0cfa-4bbe-987f-68a916711306,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
VISITING DRIVER,Default.aspx?Module=9aafef79-b588-4e78-ab83-1d78cff0cf2e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
WORKORDER,Default.aspx?Module=85d96f04-80f7-4b00-a3df-8effd43c2c0f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
WRITE OFF PROJECT,Default.aspx?Module=ed51245e-dcd1-4326-83f1-43594b38114b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
